Date,BCE.TO,RCI.B.TO,TRI.TO,QBR.B.TO,TCL.A.TO,CCA.TO,T.TO
2016-08-31,-0.012488656,-0.002844874,-0.001656107,0.005500196,0.027456731,0.007117491,-0.005794193
2016-09-01,0.00130473,0.011331707,0.008799547,-0.004748546,-0.004698575,0.011595029,0.0140796
2016-09-02,0.008278555,0.007367152,0.004734038,0.00649201,0.004698575,0.006521973,0.006624743
2016-09-06,-0.001293966,-0.002800154,-0.009490784,0.006202771,0.001561374,0.001082685,-0.002964179
2016-09-07,-0.002917788,-0.017112633,-0.003858296,-0.011693299,-0.013086095,-0.017624894,-0.010206755
2016-09-08,0.002593905,-0.005950999,-0.007205829,-0.009302317,-0.005812095,0.002671224,-0.004439602
2016-09-09,-0.013366176,-0.009632173,-0.016640283,-0.008879678,-0.047757338,-0.010253031,-0.015815408
2016-09-12,0.005727013,-0.000182602,0.016269477,0.006350827,-0.005015473,0.001900689,0.001664308
2016-09-13,-0.011400088,-0.003109818,-0.011192083,-0.014796301,-0.000558768,-0.008103421,-0.009546603
2016-09-14,0.003498681,0.001830528,-0.00037541,0.022867031,0.018826538,0.007470412,0
2016-09-15,0.005803507,0.023675003,0.008409209,0.000251036,-0.008261932,-0.003649155,0.010258653
2016-09-16,-0.007801386,-0.019659802,0.019349962,-0.005540123,0.014277933,0.001429745,-0.002376358
2016-09-19,0.000666537,0.009607797,-0.018234151,-0.002022323,-0.018712635,0.00931962,0.000238073
2016-09-20,0.004320311,0.005935579,0.007407283,0.002022323,-0.013423176,0.014672035,0.007346977
2016-09-21,0.003971387,0.00125471,-0.005179388,-0.003541603,-0.00394914,0,0.008932539
2016-09-22,0.007895868,0.003754394,0.014727942,0.003541603,0.025670738,0.011706717,0.006298942
2016-09-23,-0.006575413,-0.006624254,-0.004395876,0.003277262,-0.007188101,-0.013412558,-0.001862183
2016-09-26,0.000989137,0.002153144,-0.006814543,-0.002015519,-0.012283724,-0.008572974,0.001397278
2016-09-27,-0.001484072,0.005184902,-0.001294676,0.004027344,-0.009596464,0.003281874,0.000697609
2016-09-28,-0.000495255,-0.000356912,0,0.004761037,0.014080882,0.016711213,0.00487074
2016-09-29,0.006254078,-0.000178549,-0.005008634,0.003743324,0.00872138,-0.004306147,0.00138719
2016-09-30,-0.005924046,-0.006982385,0.008887075,-0.006998488,-0.012968848,-0.002005068,0.000231066
2016-10-03,-0.00132113,-0.001438237,0.001474045,0,-0.007405461,0.001388415,0.000461907
2016-10-04,-0.005302366,-0.003785365,-0.003688372,0.001002378,-0.010922949,-0.002315588,-0.00486066
2016-10-05,-0.005330731,-0.004525519,0.00331975,-0.010832296,0.005189076,-0.010097177,-0.006984622
2016-10-06,0.001668813,0.002536884,-0.003135178,-0.004060894,-0.00287923,-0.000312166,0.001400593
2016-10-07,-0.009045168,-0.019368451,-0.006113625,-0.014602781,0.00287923,-0.014155479,-0.013151934
2016-10-11,0.004700107,0.000737827,-0.021983162,-0.019807683,-0.001726428,-0.001902715,0.000945341
